seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
456,Drifting,1,brute_force,1062,0.7317073170731707,0.7362514029180696,0.004544085844898849,0.7415730337078652,0.7370786516853932,-0.004494382022471988
456,Drifting,1,xss,436,0.43711340206185567,0.4703296703296703,0.03321626826781465,0.49074074074074076,0.49537037037037035,0.004629629629629595
456,CTGAN,3,bot,4080,0.679814385150812,0.7450479233226837,0.06523353817187161,0.9832214765100671,0.9781879194630873,-0.005033557046979831
456,CTGAN,3,brute_force,3186,0.7317073170731707,0.7458006718924972,0.014093354819326498,0.7415730337078652,0.748314606741573,0.006741573033707815
456,CTGAN,3,xss,1308,0.43711340206185567,0.4790697674418605,0.0419563653800048,0.49074074074074076,0.47685185185185186,-0.013888888888888895
456,TabDDPM,3,bot,4080,0.679814385150812,0.7212307692307692,0.04141638407995718,0.9832214765100671,0.9832214765100671,0.0
456,TabDDPM,3,brute_force,3186,0.7317073170731707,0.7359307359307359,0.004223418857565164,0.7415730337078652,0.7640449438202247,0.022471910112359494
456,TabDDPM,3,xss,1308,0.43711340206185567,0.44717444717444715,0.010061045112591482,0.49074074074074076,0.4212962962962963,-0.06944444444444448
456,Drifting,3,bot,4080,0.679814385150812,0.7398477157360406,0.06003333058522853,0.9832214765100671,0.9781879194630873,-0.005033557046979831
456,Drifting,3,brute_force,3186,0.7317073170731707,0.7264367816091954,-0.005270535463975268,0.7415730337078652,0.7101123595505618,-0.03146067415730336
456,Drifting,3,xss,1308,0.43711340206185567,0.5076586433260394,0.07054524126418371,0.49074074074074076,0.5370370370370371,0.046296296296296335
456,CTGAN,5,bot,6800,0.679814385150812,0.7532299741602068,0.07341558900939471,0.9832214765100671,0.9781879194630873,-0.005033557046979831
456,CTGAN,5,brute_force,5310,0.7317073170731707,0.7393258426966293,0.00761852562345855,0.7415730337078652,0.7393258426966293,-0.0022471910112359383
456,CTGAN,5,xss,2180,0.43711340206185567,0.4697674418604651,0.032654039798609424,0.49074074074074076,0.4675925925925926,-0.02314814814814814
456,TabDDPM,5,bot,6800,0.679814385150812,0.7472668810289389,0.06745249587812685,0.9832214765100671,0.9748322147651006,-0.008389261744966459
456,TabDDPM,5,brute_force,5310,0.7317073170731707,0.746268656716418,0.01456133964324724,0.7415730337078652,0.7865168539325843,0.0449438202247191
456,TabDDPM,5,xss,2180,0.43711340206185567,0.4205128205128205,-0.016600581549035154,0.49074074074074076,0.37962962962962965,-0.1111111111111111
456,Drifting,5,bot,6800,0.679814385150812,0.7683168316831683,0.08850244653235628,0.9832214765100671,0.9765100671140939,-0.006711409395973145
456,Drifting,5,brute_force,5310,0.7317073170731707,0.7305524239007892,-0.0011548931723814881,0.7415730337078652,0.7280898876404495,-0.013483146067415741
456,Drifting,5,xss,2180,0.43711340206185567,0.4794520547945205,0.04233865273266485,0.49074074074074076,0.4861111111111111,-0.00462962962962965
789,CTGAN,1,bot,1360,0.6536530953708868,0.7303370786516854,0.07668398328079862,0.9832214765100671,0.9815436241610739,-0.001677852348993203
